Location,Spot Price,On-Demand Price
eastus,0.081406,0.293
eastus2,0.061972,0.229
southcentralus,0.058077,0.254
westus2,0.062997,0.229
westus3,0.112,0.28
australiaeast,0.124915,0.336
southeastasia,0.06636,0.316
northeurope,0.061816,0.263
uksouth,0.090631,0.351
westeurope,0.064836,0.272
centralus,0.06863,0.293
northcentralus,0.08036,0.293
westus,0.058927,0.279
southafricanorth,0.07105,0.307
centralindia,0.074496,0.337
eastasia,0.08988,0.428
japaneast,0.085891,0.409
jioindiawest,,0.337
koreacentral,0.069696,0.33
canadacentral,0.047058,0.28
francecentral,0.071879,0.351
germanywestcentral,0.05586,0.266
norwayeast,0.049916,0.299
switzerlandnorth,0.051939,0.326
uaenorth,0.057709,0.275
brazilsouth,0.078246,0.343
centralusstage,,
eastusstage,,
eastus2stage,,
northcentralusstage,,
southcentralusstage,,
westusstage,,
westus2stage,,
asia,,
asiapacific,,
australia,,
brazil,,
canada,,
europe,,
global,,
india,,
japan,,
uk,,
unitedstates,,
eastasiastage,,
southeastasiastage,,
centraluseuap,,
eastus2euap,,
westcentralus,0.05334,0.254
southafricawest,0.040425,0.385
australiacentral,0.0336,0.336
australiacentral2,0.0336,0.336
australiasoutheast,0.066024,0.311
japanwest,0.077897,0.365
koreasouth,0.06237,0.297
southindia,0.07077,0.337
westindia,0.07077,0.337
canadaeast,0.0588,0.28
francesouth,0.053958,0.456
germanynorth,0.038051,0.348
norwaywest,0.040845,0.389
switzerlandwest,0.04452,0.424
ukwest,0.081937,0.351
uaecentral,0.050499,0.357
brazilsoutheast,0.046725,0.445